百晓生┃影视,#genre#
湖北卫视[高清],http://123.112.210.212:4022/udp/239.3.1.138:8044
吉林卫视[高清],http://123.112.210.212:4022/udp/239.3.1.240:8172
贵州卫视[高清],http://123.112.210.212:4022/udp/239.3.1.149:8076
东南卫视[高清],http://123.112.210.212:4022/udp/239.3.1.156:8148
江西卫视[高清],http://123.112.210.212:4022/udp/239.3.1.123:8164
海南卫视,http://123.112.210.212:4022/udp/239.3.1.45:8304
云南卫视,http://123.112.210.212:4022/udp/239.3.1.26:8108
兵团卫视,http://123.112.210.212:4022/udp/239.3.1.144:4120
厦门卫视,http://123.112.210.212:4022/udp/239.3.1.143:4120
四川卫视,http://123.112.210.212:4022/udp/239.3.1.29:8288
大湾区卫视,http://123.112.210.212:4022/udp/239.3.1.161:8001
宁夏卫视,http://123.112.210.212:4022/udp/239.3.1.46:8124
山西卫视,http://123.112.210.212:4022/udp/239.3.1.42:8172
广西卫视,http://123.112.210.212:4022/udp/239.3.1.39:8300
新疆卫视,http://123.112.210.212:4022/udp/239.3.1.48:8160
河南卫视,http://123.112.210.212:4022/udp/239.3.1.27:8128
甘肃卫视,http://123.112.210.212:4022/udp/239.3.1.49:8188
西藏卫视,http://123.112.210.212:4022/udp/239.3.1.47:8164
三沙卫视,http://123.112.210.212:4022/udp/239.3.1.155:4120
陕西卫视,http://123.112.210.212:4022/udp/239.3.1.41:8140
青海卫视,http://123.112.210.212:4022/udp/239.3.1.44:8184
内蒙古卫视,http://123.112.210.212:4022/udp/239.3.1.43:8176



百晓生┃其它,#genre#

CGTN 新闻[高清],http://123.112.210.212:4022/udp/239.3.1.215:4220
CGTN 记录[高清],http://123.112.210.212:4022/udp/239.3.1.216:4220
CGTN 西班牙语[高清],http://123.112.210.212:4022/udp/239.3.1.217:4220
CGTN 法语[高清],http://123.112.210.212:4022/udp/239.3.1.218:4220
CGTN 阿拉伯语[高清],http://123.112.210.212:4022/udp/239.3.1.219:4220
CGTN 俄语[高清],http://123.112.210.212:4022/udp/239.3.1.220:4220
睛彩竞技[高清],http://123.112.210.212:4022/udp/239.3.1.125:8001
睛彩篮球[高清],http://123.112.210.212:4022/udp/239.3.1.126:8001
睛彩羽毛球[高清],http://123.112.210.212:4022/udp/239.3.1.127:8001
睛彩广场舞[高清],http://123.112.210.212:4022/udp/239.3.1.128:8001
茶频道[高清],http://123.112.210.212:4022/udp/239.3.1.165:8001
淘精彩[高清],http://123.112.210.212:4022/udp/239.3.1.178:8001
快乐垂钓[高清],http://123.112.210.212:4022/udp/239.3.1.164:8001
大健康[高清],http://123.112.210.212:4022/udp/239.3.1.251:8001
CETV1[高清],http://123.112.210.212:4022/udp/239.3.1.57:8152
CETV2,http://123.112.210.212:4022/udp/239.3.1.54:4120
CETV3,http://123.112.210.212:4022/udp/239.3.1.55:4120
CETV4,http://123.112.210.212:4022/udp/239.3.1.56:4120
少儿动画,http://123.112.210.212:4022/udp/239.3.1.199:9000
热播剧场,http://123.112.210.212:4022/udp/239.3.1.194:9020
解密,http://123.112.210.212:4022/udp/239.3.1.75:4120
军事,http://123.112.210.212:4022/udp/239.3.1.76:4120
军旅剧场,http://123.112.210.212:4022/udp/239.3.1.68:4120
动画,http://123.112.210.212:4022/udp/239.3.1.80:4120
古装剧场,http://123.112.210.212:4022/udp/239.3.1.69:4120
台球,http://123.112.210.212:4022/udp/239.3.1.85:4120
嘉佳卡通,http://123.112.210.212:4022/udp/239.3.1.147:9268
国学,http://123.112.210.212:4022/udp/239.3.1.77:4120
城市剧场,http://123.112.210.212:4022/udp/239.3.1.67:4120
墨宝,http://123.112.210.212:4022/udp/239.3.1.83:4120
好学生,http://123.112.210.212:4022/udp/239.3.1.81:4120
山东教育,http://123.112.210.212:4022/udp/239.3.1.52:4120
戏曲,http://123.112.210.212:4022/udp/239.3.1.78:4120
收视指南,http://123.112.210.212:4022/udp/239.3.1.193:8012
中国交通[高清],http://123.112.210.212:4022/udp/239.3.1.188:8001
早教,http://123.112.210.212:4022/udp/239.3.1.79:4120
武侠剧场,http://123.112.210.212:4022/udp/239.3.1.90:4120
武术,http://123.112.210.212:4022/udp/239.3.1.87:4120
爱生活,http://123.112.210.212:4022/udp/239.3.1.86:4120
美人,http://123.112.210.212:4022/udp/239.3.1.73:4120
美妆,http://123.112.210.212:4022/udp/239.3.1.72:4120
财富天下,http://123.112.210.212:4022/udp/239.3.1.53:9136
足球,http://123.112.210.212:4022/udp/239.3.1.89:4120
金鹰卡通,http://123.112.210.212:4022/udp/239.3.1.51:9252
鉴赏,http://123.112.210.212:4022/udp/239.3.1.82:4120
音乐现场,http://123.112.210.212:4022/udp/239.3.1.70:4120
高网,http://123.112.210.212:4022/udp/239.3.1.88:4120
魅力时尚,http://123.112.210.212:4022/udp/239.3.1.196:9012

百晓生┃唐探电影_8866,#genre#
唐人街探案一,https://yzzy.play-cdn17.com/20230724/12470_fd7f5dd0/index.m3u8
唐人街探案二,https://yzzy.play-cdn17.com/20230724/12471_461bebe1/index.m3u8
唐人街探案三,https://yzzy.play-cdn17.com/20230724/12472_7b0c4d70/index.m3u8

百晓生┃莲花楼_8866,#genre#
莲花楼第1集,https://yzzy.play-cdn18.com/20230723/1454_107ed5b5/index.m3u8
莲花楼第2集,https://yzzy.play-cdn18.com/20230723/1453_5033c7fd/index.m3u8
莲花楼第3集,https://yzzy.play-cdn18.com/20230723/1452_b03560cb/index.m3u8
莲花楼第4集,https://yzzy1.play-cdn16.com/20230723/13737_8f035d6e/index.m3u8
莲花楼第5集,https://yzzy1.play-cdn16.com/20230723/13736_202ed904/index.m3u8
莲花楼第6集,https://yzzy1.play-cdn16.com/20230723/13735_a45bfbd3/index.m3u8
莲花楼第7集,https://yzzy.play-cdn18.com/20230724/1540_4d4292f4/index.m3u8
莲花楼第8集,https://yzzy.play-cdn18.com/20230724/1539_a018b34e/index.m3u8
莲花楼第9集,https://vip15.play-cdn15.com/20230725/21013_90d852ba/index.m3u8
莲花楼第10集,https://vip15.play-cdn15.com/20230725/21012_57617ac5/index.m3u8
莲花楼第11集,https://yzzy.play-cdn18.com/20230726/1907_90823095/index.m3u8
莲花楼第12集,https://yzzy.play-cdn18.com/20230726/1906_97904553/index.m3u8
莲花楼第13集,https://yzzy.play-cdn18.com/20230727/2032_a731e3be/index.m3u8
莲花楼第14集,https://yzzy.play-cdn18.com/20230727/2031_a8dad928/index.m3u8
莲花楼第15集,https://yzzy.play-cdn18.com/20230728/2192_dd34c600/index.m3u8
莲花楼第16集,https://yzzy.play-cdn18.com/20230728/2191_e6379edc/index.m3u8
莲花楼第17集,https://yzzy.play-cdn18.com/20230729/2571_19bdbb87/index.m3u8
莲花楼第18集,https://yzzy.play-cdn18.com/20230729/2570_ef4e639c/index.m3u8
莲花楼第19集,https://yzzy.play-cdn18.com/20230802/3106_7a4a645e/index.m3u8
莲花楼第20集,https://yzzy.play-cdn18.com/20230802/3105_b682d050/index.m3u8
莲花楼第21集,https://vip15.play-cdn15.com/20230803/23015_4e86e509/index.m3u8
莲花楼第22集,https://vip15.play-cdn15.com/20230803/23014_fe9c375d/index.m3u8
莲花楼第23集,https://vip15.play-cdn15.com/20230804/23078_20ac1f2d/index.m3u8
莲花楼第24集,https://vip15.play-cdn15.com/20230804/23077_9e61e4ee/index.m3u8
莲花楼第25集,https://yzzy1.play-cdn16.com/20230805/15451_bc6e9933/index.m3u8
莲花楼第26集,https://yzzy1.play-cdn16.com/20230805/15450_0ec374bd/index.m3u8
莲花楼第27集,https://yzzy1.play-cdn16.com/20230806/15594_28d585a7/index.m3u8
莲花楼第28集,https://yzzy1.play-cdn16.com/20230806/15593_03715c19/index.m3u8
莲花楼第29集,https://yzzy1.play-cdn16.com/20230807/15699_9506899c/index.m3u8
莲花楼第30集,https://yzzy1.play-cdn16.com/20230807/15698_7cd73749/index.m3u8
莲花楼第31集,https://vip15.play-cdn15.com/20230808/23304_4b6eb5ea/index.m3u8
莲花楼第32集,https://vip15.play-cdn15.com/20230808/23303_b6bf3176/index.m3u8
莲花楼第33集,https://yzzy.play-cdn18.com/20230809/4116_72565f4b/index.m3u8
莲花楼第34集,https://yzzy.play-cdn18.com/20230809/4117_5d2fa2cf/index.m3u8
莲花楼第35集,https://yzzy1.play-cdn16.com/20230809/15862_7b431653/index.m3u8
莲花楼第36集,https://yzzy1.play-cdn16.com/20230809/15861_d94bda2b/index.m3u8
莲花楼第37集,https://yzzy1.play-cdn16.com/20230809/15863_9ed71f62/index.m3u8
莲花楼第38集,https://yzzy.play-cdn18.com/20230809/4120_a5b6b924/index.m3u8
莲花楼第39集,https://yzzy.play-cdn18.com/20230809/4119_63e13008/index.m3u8
莲花楼第40集,https://yzzy.play-cdn18.com/20230809/4118_d3dca3f2/index.m3u8
莲花楼演唱会,https://yzzy.play-cdn17.com/20230916/18747_a4f62909/index.m3u8

百晓生┃唐人街探案第一季_8866,#genre#
唐人街探案第一季第1集,https://yzzy.play-cdn18.com/20230822/10563_9175eee0/index.m3u8
唐人街探案第一季第2集,https://yzzy.play-cdn18.com/20230822/10562_a21e4cbf/index.m3u8
唐人街探案第一季第3集,https://yzzy.play-cdn18.com/20230822/10559_7301b70f/index.m3u8
唐人街探案第一季第4集,https://yzzy.play-cdn18.com/20230822/10560_49e7e839/index.m3u8
唐人街探案第一季第5集,https://yzzy.play-cdn18.com/20230822/10561_5623ad1f/index.m3u8
唐人街探案第一季第6集,https://yzzy.play-cdn18.com/20230822/10556_4598ddf6/index.m3u8
唐人街探案第一季第7集,https://yzzy.play-cdn18.com/20230822/10555_205a57bb/index.m3u8
唐人街探案第一季第8集,https://yzzy.play-cdn18.com/20230822/10554_4f6cd6ac/index.m3u8
唐人街探案第一季第9集,https://yzzy.play-cdn18.com/20230822/10553_8334ccf5/index.m3u8
唐人街探案第一季第10集,https://yzzy.play-cdn18.com/20230822/10550_e25c6252/index.m3u8
唐人街探案第一季第11集,https://yzzy.play-cdn18.com/20230822/10552_17bb4e55/index.m3u8
